char	jlpt_level	stroke_count	radical	on_readings	kun_readings	meaning_en	han_viet	meaning_vi
安	N5	6	40	アン	やす.い|やす.まる|やす|やす.らか	relax; cheap; low; quiet; rested; contented; peaceful	an	yên, an, rẻ
一	N5	1	1	イチ|イツ	ひと-|ひと.つ	one; one radical (no.1)	nhất	một, nhất
飲	N5	12	184	イン|オン	の.む|-の.み	drink; smoke; take	ẩm	uống
右	N5	5	30	ウ|ユウ	みぎ	right	hữu	phải, hữu
雨	N5	8	173	ウ	あめ|あま-|-さめ	rain		mưa
駅	N5	14	187	エキ		station		ga, trạm
円	N5	4	13	エン	まる.い|まる|まど|まど.か|まろ.やか	circle; yen; round		tròn, yên (tiền)
下	N5	3	1	カ|ゲ	した|しも|もと|さ.げる|さ.がる|くだ.る|くだ.り|くだ.す|-くだ.す|くだ.さる|お.ろす|お.りる	below; down; descend; give; low; inferior	hạ	dưới, hạ
何	N5	7	9	カ	なに|なん|なに-|なん-	what		gì, hà
火	N5	4	86	カ	ひ|-び|ほ-	fire	hoả	lửa, hỏa
花	N5	7	140	カ|ケ	はな	flower	hoa	hoa
会	N5	6	9	カイ|エ	あ.う|あ.わせる|あつ.まる	meeting; meet; party; association; interview; join	hội	gặp, hội
外	N5	5	36	ガイ|ゲ	そと|ほか|はず.す|はず.れる|と-	outside	ngoại	ngoài, ngoại
学	N5	8	39	ガク	まな.ぶ	study; learning; science		học
間	N5	12	169	カン|ケン	あいだ|ま|あい	interval; space	gian	khoảng, giữa, gian
気	N5	6	84	キ|ケ	いき|き	spirit; mind; air; atmosphere; mood		khí, tinh thần
休	N5	6	9	キュウ	やす.む|やす.まる|やす.める	rest; day off; retire; sleep	hưu	nghỉ, hưu
魚	N5	11	195	ギョ	うお|さかな|-ざかな	fish	ngư	cá, ngư
金	N5	8	167	キン|コン|ゴン	かね|かな-|-がね	gold	kim	vàng, kim, tiền
九	N5	2	5	キュウ|ク	ここの|ここの.つ	nine	cửu	chín, cửu
空	N5	8	116	クウ	そら|あ.く|あ.き|あ.ける|から|す.く|す.かす|むな.しい	empty; sky; void; vacant; vacuum	không	trống, không, bầu trời
月	N5	4	74	ゲツ|ガツ	つき	month; moon	nguyệt	tháng, mặt trăng, nguyệt
見	N5	7	147	ケン	み.る|み.える|み.せる	see; hopes; chances; idea; opinion; look at; visible	kiến	thấy, nhìn, kiến
言	N5	7	149	ゲン|ゴン	い.う|こと	say; word	ngôn	nói, ngôn
古	N5	5	30	コ	ふる.い|ふる-|-ふる.す	old	cổ	cũ, cổ
五	N5	4	7	ゴ	いつ|いつ.つ	five	ngũ	năm, ngũ
午	N5	4	24	ゴ	うま	noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac	ngọ	giờ Ngọ, trưa
後	N5	9	60	ゴ|コウ	のち|うし.ろ|うしろ|あと|おく.れる	behind; back; later	hậu	sau, hậu
語	N5	14	149	ゴ	かた.る|かた.らう	word; speech; language	ngữ	ngôn ngữ, từ, ngữ
口	N5	3	30	コウ|ク	くち	mouth	khẩu	miệng, cửa, khẩu
校	N5	10	75	コウ|キョウ		exam; school; printing; proof; correction	chò	trường, hiệu đính
行	N5	6	144	コウ|ギョウ|アン	い.く|ゆ.く|-ゆ.き|-ゆき|-い.き|-いき|おこな.う|おこ.なう	going; journey; carry out; conduct; act; line; row; bank	hàng	đi, hành, dòng
高	N5	10	189	コウ	たか.い|たか|-だか|たか.まる|たか.める	tall; high; expensive	cao	cao, đắt
国	N5	8	31	コク	くに	country		nước, quốc
今	N5	4	9	コン|キン	いま	now	kim	bây giờ, kim
左	N5	5	48	サ|シャ	ひだり	left	tả	trái, tả
三	N5	3	1	サン|ゾウ	み|み.つ|みっ.つ	three	tam	ba, tam
山	N5	3	46	サン|セン	やま	mountain	sơn	núi, sơn
四	N5	5	31	シ	よ|よ.つ|よっ.つ|よん	four	tứ	bốn, tứ
子	N5	3	39	シ|ス|ツ	こ|-こ|ね	child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac	tí	con, đứa trẻ, tử
時	N5	10	72	ジ	とき|-どき	time; hour	thì	thời, giờ
耳	N5	6	128	ジ	みみ	ear	nhĩ	tai, nhĩ
七	N5	2	1	シチ	なな|なな.つ|なの	seven	thất	bảy, thất
社	N5	7	113	シャ	やしろ	company; firm; office; association; shrine	xã	công ty, đền, xã
車	N5	7	159	シャ	くるま	car	xa	xe, xa
手	N5	4	64	シュ|ズ	て|て-|-て|た-	hand	thủ	tay, thủ
週	N5	11	162	シュウ		week	chu	tuần
十	N5	2	24	ジュウ|ジッ|ジュッ	とお|と|そ	ten	thập	mười, thập
出	N5	5	17	シュツ|スイ	で.る|-で|だ.す|-だ.す|い.でる|い.だす	exit; leave; go out; come out; put out; protrude	xuất	ra, xuất
書	N5	10	73	ショ	か.く|-が.き|-がき	write	thư	viết, sách, thư
女	N5	3	38	ジョ|ニョ|ニョウ	おんな|め	woman; female	nữa	nữ, phụ nữ
小	N5	3	42	ショウ	ちい.さい|こ-|お-|さ-	little; small	tiểu	nhỏ, tiểu
少	N5	4	42	ショウ	すく.ない|すこ.し	few; little	thiểu	ít, thiếu
上	N5	3	1	ジョウ|ショウ|シャン	うえ|-うえ|うわ-|かみ|あ.げる|-あ.げる|あ.がる|-あ.がる|あ.がり|-あ.がり|のぼ.る|のぼ.り|のぼ.せる|のぼ.す|たてまつ.る	above; up	thượng	trên, thượng
食	N5	9	184	ショク|ジキ	く.う|く.らう|た.べる|は.む	eat; food		ăn, thực phẩm
新	N5	13	69	シン	あたら.しい|あら.た|あら-|にい-	new	tân	mới, tân
人	N5	2	9	ジン|ニン	ひと|-り|-と	person	nhân	người, nhân
水	N5	4	85	スイ	みず|みず-	water	thuỷ	nước, thủy
生	N5	5	100	セイ|ショウ	い.きる|い.かす|い.ける|う.まれる|うま.れる|う.まれ|うまれ|う.む|お.う|は.える|は.やす|き|なま|なま-|な.る|な.す|む.す|-う	life; genuine; birth	sinh	sống, sinh
西	N5	6	146	セイ|サイ|ス	にし	west; Spain	tây	tây, phương Tây
先	N5	6	10	セン	さき|ま.ず	before; ahead; previous; future; precedence	tiên	trước, tiên
千	N5	3	24	セン	ち	thousand	thiên	nghìn, thiên
川	N5	3	47	セン	かわ	stream; river; river or three-stroke river radical (no. 47)	xuyên	sông, suối, xuyên
前	N5	9	18	ゼン	まえ|-まえ	in front; before	tiền	trước, tiền
足	N5	7	157	ソク	あし|た.りる|た.る|た.す	leg; foot; be sufficient; counter for pairs of footwear	túc	chân, đủ, túc
多	N5	6	36	タ	おお.い|まさ.に|まさ.る	many; frequent; much	đa	nhiều, đa
大	N5	3	37	ダイ|タイ	おお-|おお.きい|-おお.いに	large; big	đại	lớn, đại
男	N5	7	102	ダン|ナン	おとこ|お	male	nam	nam, đàn ông
中	N5	4	2	チュウ	なか|うち|あた.る	in; inside; middle; mean; center	trung	trong, giữa, trung
