kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet
安	安い	やすい	adj-i	cheap; inexpensive	4602	an
安	安っぽい	やすっぽい	adj-i	cheap-looking; tawdry; insignificant	4603	an
安	安らか	やすらか	adj-na	peaceful; tranquil; calm; restful	4604	an
安	安らぎ	やすらぎ	n	peace (of mind); tranquility; tranquillity; serenity	4605	an
安	安易	あんい	adj-na	easy; simple	4606	an dịch
安	安価	あんか	adj-na	low-priced; cheap; inexpensive	4607	an ?
安	安楽死	あんらくし	n	euthanasia	4608	an ? tợ
安	安住	あんじゅう	n	living in peace; living a quiet life	4609	an trú
一	一	いち	num	one; 1	4802	nhất
一	一つ	ひとつ	num	one	4803	nhất
一	一つ一つ	ひとつひとつ	adv	one-by-one; separately; in detail	4804	nhất nhất
一	一握り	ひとにぎり	n	a handful (of)	4805	nhất ?
一	一安心	ひとあんしん	n	feeling of relief (for the time being); peace of mind (for now)	4806	nhất an tâm
一	一位	いちい	n	first place; first rank	4807	nhất vị
一	一員	いちいん	n	one person; one member	4808	nhất viên
一	一因	いちいん	n	one cause; one reason; one factor	4809	nhất nhân
飲	飲む	のむ	v5m	to drink; to swallow; to take (medicine)	5028	ẩm
飲	飲酒	いんしゅ	n	drinking alcohol	5029	ẩm ?
飲	飲酒運転	いんしゅうんてん	n	drunk driving; drink-driving; driving while intoxicated; drinking and driving; driving under the influence (of alcohol)	5030	ẩm ? vận ?
飲	飲食	いんしょく	n	food and drink; eating and drinking	5031	ẩm ?
飲	飲食店	いんしょくてん	n	restaurant	5032	ẩm ? điếm
飲	飲料	いんりょう	n	beverage; drink	5033	ẩm liệu
飲	飲料水	いんりょうすい	n	drinking water	5034	ẩm liệu thuỷ
飲	飲み込む	のみこむ	v5m	to swallow; to gulp down	19446	ẩm ?
右	右	みぎ	n	right; right-hand side	5049	hữu
右	右往左往	うおうさおう	n	moving about in confusion; going every which way; going this way and that	5050	hữu vãng tả vãng
右	右下	みぎした	n	lower right	5051	hữu hạ
右	右手	みぎて	n	right hand	5052	hữu thủ
右	右上	みぎうえ	n	upper right	5053	hữu thượng
右	右折	うせつ	n	turning to the right; right turn	5054	hữu chiết
右	右足	みぎあし	n	right foot	5055	hữu túc
右	右派	うは	n	right wing	5056	hữu phái
雨	雨	あめ	n	rain	5070	?
雨	雨雲	あまぐも	n	rain cloud	5071	? vân
雨	雨具	あまぐ	n	rain gear	5072	? cụ
雨	雨戸	あまど	n	sliding storm shutter	5073	? ?
雨	雨宿り	あまやどり	n	taking shelter from rain	5074	? túc
雨	雨天	うてん	n	rainy weather	5075	? thiên
雨	雨量	うりょう	n	(amount of) rainfall	5076	? ?
雨	雨漏り	あまもり	n	roof leak	5077	? lậu
駅	駅	えき	n	railway station; train station	5165	?
駅	駅員	えきいん	n	(train) station attendant; station employee; station staff	5166	? viên
駅	駅前	えきまえ	n	in front of a station	5167	? tiền
駅	駅長	えきちょう	n	station master	5168	? trường
駅	駅伝	えきでん	n	long-distance relay race	5169	? ?
駅	駅弁	えきべん	n	boxed lunch bought at a station (often a local specialty)	5170	? ?
駅	終着駅	しゅうちゃくえき	n	terminal station	10476	chung ? ?
駅	宿駅	しゅくえき	n	relay station; post station; stage	20720	túc ?
円	一円	いちえん	n	one yen	4810	nhất ?
円	円	えん	n	yen (currency of Japan)	5177	?
円	円安	えんやす	n	depreciation of the yen; weak yen	5178	? an
円	円建て	えんだて	n	yen basis (for trade, exchange, etc.)	5179	? kiến
円	円弧	えんこ	n	arc	5180	? ?
円	円高	えんだか	n	appreciation of the yen; strong yen	5181	? cao
円	円周	えんしゅう	n	circumference	5182	? chu
円	円熟	えんじゅく	n	ripeness; mellowness; maturity	5183	? thục
下	ぶら下がる	ぶらさがる	v5r	to hang down (from); to dangle; to swing; to be suspended	403	hạ
下	ぶら下げる	ぶらさげる	v1	to hang; to suspend; to dangle; to swing; to carry	404	hạ
下	以下	いか	n-suf	not exceeding ...; not more than ...; ... and under; ... and below; ... or fewer	4643	? hạ
下	引き下げ	ひきさげ	n	reduction; cut	5005	dẫn hạ
下	右下	みぎした	n	lower right	5051	hữu hạ
下	下	した	n	below; down; under; younger (e.g. daughter)	5402	hạ
下	下がる	さがる	v5r	to come down; to go down; to fall; to drop; to sink; to get lower	5403	hạ
下	下げる	さげる	v1	to hang; to suspend; to wear (e.g. decoration)	5404	hạ
何	如何にも	いかにも	adv	indeed; really; truly; just (like)	18	như ?
何	何方でも	どなたでも	adv	anyone	333	? phương
何	何故なら	なぜなら	conj	because; the reason is; if you want to know why	343	? cố
何	何故ならば	なぜならば	conj	because; for; the reason why is ...	344	? cố
何	何か	なにか	pn	something; some; any	5469	?
何	何しろ	なにしろ	adv	in any case; at any rate; anyhow; anyway; as you know; for you see; particularly	5470	?
何	何だか	なんだか	adv	(a) little; somewhat; somehow	5471	?
何	何だかんだ	なんだかんだ	adv	something or other; one thing or another; this or that	5472	?
火	下火	したび	n	burning low; waning; declining	5415	hạ hoả
火	火	ひ	n	fire; flame; blaze	5617	hoả
火	火炎瓶	かえんびん	n	Molotov cocktail; petrol bomb; gasoline bomb	5618	hoả viêm bình
火	火花	ひばな	n	spark	5619	hoả hoa
火	火器	かき	n	firearms; guns	5620	hoả khí
火	火災	かさい	n	conflagration; fire	5621	hoả tai
火	火災保険	かさいほけん	n	fire insurance	5622	hoả tai bảo ?
火	火山	かざん	n	volcano	5623	hoả sơn
花	火花	ひばな	n	spark	5619	hoả hoa
花	花	はな	n	flower; blossom; bloom; petal	5640	hoa
花	花びら	はなびら	n	petal	5641	hoa
花	花屋	はなや	n	florist; flower shop	5642	hoa ốc
花	花嫁	はなよめ	n	bride	5643	hoa giá
花	花火	はなび	n	fireworks	5644	hoa hoả
花	花形	はながた	n	floral pattern; flourish; ornament	5645	hoa hình
花	花見	はなみ	n	cherry blossom viewing; flower viewing	5646	hoa kiến
会	委員会	いいんかい	n	committee; commission; board; panel; committee meeting	4668	uỷ viên hội
会	医師会	いしかい	n	medical association	4787	? sư hội
会	運動会	うんどうかい	n	athletic meet (esp. at a school); sports day; field day; sports festival	5101	vận động hội
会	英会話	えいかいわ	n	English conversation	5142	anh hội thoại
会	宴会	えんかい	n	party; banquet; reception; feast; dinner	5194	yến hội
会	演奏会	えんそうかい	n	concert; recital	5220	diễn tấu hội
会	会	かい	n	meeting; assembly; party; gathering; conference; athletic meet	5731	hội
会	会う	あう	v5u	to meet; to encounter; to see	5732	hội
外	この外	このほか	conj	besides; moreover; in addition	170	ngoại
外	その外	そのほか	exp	the rest; the others	250	ngoại
外	案外	あんがい	adv	unexpectedly; surprisingly	4638	an ngoại
外	以外	いがい	n-suf	excluding; except (for); apart from; other than; besides; in addition to	4644	? ngoại
外	意外	いがい	adj-na	unexpected; surprising	4677	ý ngoại
外	域外	いきがい	n	outside the area	4795	vực ngoại
外	屋外	おくがい	n	outdoors; outside	5356	ốc ngoại
外	海外	かいがい	n	foreign; abroad; overseas	5864	hải ngoại
学	医学	いがく	n	medicine; medical science	4783	? ?
学	医学部	いがくぶ	n	faculty of medicine; college of medicine; department of medicine; school of medicine; medical school	4784	? ? bộ
学	英文学	えいぶんがく	n	English(-language) literature	5150	anh văn ?
学	化学	かがく	n	chemistry	5452	hoá ?
学	化学肥料	かがくひりょう	n	chemical fertilizer; chemical fertiliser	5453	hoá ? phì liệu
学	化学兵器	かがくへいき	n	chemical weapon	5454	hoá ? binh khí
学	科学	かがく	n	science	5586	khoa ?
学	科学技術	かがくぎじゅつ	n	science and technology; technology; scientific techniques	5587	khoa ? kĩ thuật
間	あっという間に	あっというまに	exp	in an instant; in a flash; in the blink of an eye; in no time at all; just like that	7	gian
間	この間	このあいだ	n	the other day; lately; recently; during this period	171	gian
間	一時間	いちじかん	n	one hour	4854	nhất thì gian
間	一週間	いっしゅうかん	n	one week	4863	nhất chu gian
間	一年間	いちねんかん	n	(period of) one year	4924	nhất nên gian
間	宇宙空間	うちゅうくうかん	n	(outer) space	5061	vũ trụ không gian
間	営業時間	えいぎょうじかん	n	business hours; opening hours; office hours	5117	? nghiệp thì gian
間	いつの間にか	いつのまにか	adv	before one knows; before one becomes aware of; unnoticed; unawares	5488	gian
気	お天気	おてんき	n	weather	86	thiên ?
気	悪気	わるぎ	n	ill will; malice; evil intent	4567	? ?
気	意気	いき	n	spirit; heart; disposition	4678	ý ?
気	意気込む	いきごむ	v5m	to be enthusiastic (about); to be eager (to do); to be keen; to be intent (on); to be determined	4679	ý ? ?
気	意気地	いくじ	n	self-respect; self-confidence; guts; backbone; pride; drive; willpower	4680	ý ? địa
気	一気	いっき	n	one breath	4826	nhất ?
気	一気に	いっきに	adv	in one go; in one gulp; in one breath; without stopping; without pausing; without a rest; in one sitting; at a stretch	4827	nhất ?
気	陰気	いんき	adj-na	gloomy; dismal; miserable; melancholy	5036	âm ?
休	お休みなさい	おやすみなさい	exp	good night	54	hưu
休	一休み	ひとやすみ	n	(short) rest; breather; break	4829	nhất hưu
休	運休	うんきゅう	n	suspension (of a transportation service); cancellation; stoppage	5092	vận hưu
休	夏休み	なつやすみ	n	summer vacation; summer holiday	5543	? hưu
休	休する	きゅうする	vs-s	to come to an end	6866	hưu
休	休まる	やすまる	v5r	to be rested; to feel at ease; to repose; to be relieved	6867	hưu
休	休み	やすみ	n	rest; recess; respite	6868	hưu
休	休む	やすむ	v5m	to be absent; to take a day off	6869	hưu
魚	魚屋	さかなや	n	fish market; fish dealer; fishmonger	7028	ngư ốc
