kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet	vi_meaning
安	安い	やすい	adj-i	cheap; inexpensive	4602	an	rẻ
安	安っぽい	やすっぽい	adj-i	cheap-looking; tawdry; insignificant	4603	an	rẻ tiền, kém chất lượng
安	安らか	やすらか	adj-na	peaceful; tranquil; calm; restful	4604	an	bình yên, thanh thản
安	安らぎ	やすらぎ	n	peace (of mind); tranquility; tranquillity; serenity	4605	an	sự bình yên, thanh thản
安	安易	あんい	adj-na	easy; simple	4606	an dịch	dễ dàng, đơn giản
安	安価	あんか	adj-na	low-priced; cheap; inexpensive	4607	an ?	giá rẻ
安	安楽死	あんらくし	n	euthanasia	4608	an ? tợ	an tử, cái chết êm dịu
安	安住	あんじゅう	n	living in peace; living a quiet life	4609	an trú	sống yên ổn
一	一	いち	num	one; 1	4802	nhất	một
一	一つ	ひとつ	num	one	4803	nhất	một (cái)
一	一つ一つ	ひとつひとつ	adv	one-by-one; separately; in detail	4804	nhất nhất	từng cái một
一	一握り	ひとにぎり	n	a handful (of)	4805	nhất ?	một nhúm, một nắm
一	一安心	ひとあんしん	n	feeling of relief (for the time being); peace of mind (for now)	4806	nhất an tâm	tạm yên tâm, thở phào
一	一位	いちい	n	first place; first rank	4807	nhất vị	hạng nhất, vị trí số một
一	一員	いちいん	n	one person; one member	4808	nhất viên	một thành viên
一	一因	いちいん	n	one cause; one reason; one factor	4809	nhất nhân	một nguyên nhân, một lý do
飲	飲む	のむ	v5m	to drink; to swallow; to take (medicine)	5028	ẩm	uống
飲	飲酒	いんしゅ	n	drinking alcohol	5029	ẩm ?	uống rượu
飲	飲酒運転	いんしゅうんてん	n	drunk driving; drink-driving; driving while intoxicated; drinking and driving; driving under the influence (of alcohol)	5030	ẩm ? vận ?	lái xe khi say rượu
飲	飲食	いんしょく	n	food and drink; eating and drinking	5031	ẩm ?	ăn uống
飲	飲食店	いんしょくてん	n	restaurant	5032	ẩm ? điếm	quán ăn, nhà hàng
飲	飲料	いんりょう	n	beverage; drink	5033	ẩm liệu	đồ uống
飲	飲料水	いんりょうすい	n	drinking water	5034	ẩm liệu thuỷ	nước uống
飲	飲み込む	のみこむ	v5m	to swallow; to gulp down	19446	ẩm ?	nuốt
右	右	みぎ	n	right; right-hand side	5049	hữu	bên phải
右	右往左往	うおうさおう	n	moving about in confusion; going every which way; going this way and that	5050	hữu vãng tả vãng	chạy loạn xạ, lúng túng
右	右下	みぎした	n	lower right	5051	hữu hạ	góc dưới phải
右	右手	みぎて	n	right hand	5052	hữu thủ	tay phải
右	右上	みぎうえ	n	upper right	5053	hữu thượng	góc trên phải
右	右折	うせつ	n	turning to the right; right turn	5054	hữu chiết	rẽ phải
右	右足	みぎあし	n	right foot	5055	hữu túc	chân phải
右	右派	うは	n	right wing	5056	hữu phái	phái hữu, cánh hữu
雨	雨	あめ	n	rain	5070	?	mưa
雨	雨雲	あまぐも	n	rain cloud	5071	? vân	mây mưa
雨	雨具	あまぐ	n	rain gear	5072	? cụ	đồ đi mưa
雨	雨戸	あまど	n	sliding storm shutter	5073	? ?	cửa chống mưa
雨	雨宿り	あまやどり	n	taking shelter from rain	5074	? túc	trú mưa
雨	雨天	うてん	n	rainy weather	5075	? thiên	trời mưa
雨	雨量	うりょう	n	(amount of) rainfall	5076	? ?	lượng mưa
雨	雨漏り	あまもり	n	roof leak	5077	? lậu	dột (mái nhà)
駅	駅	えき	n	railway station; train station	5165	?	ga
駅	駅員	えきいん	n	(train) station attendant; station employee; station staff	5166	? viên	nhân viên nhà ga
駅	駅前	えきまえ	n	in front of a station	5167	? tiền	trước ga
駅	駅長	えきちょう	n	station master	5168	? trường	trưởng ga
駅	駅伝	えきでん	n	long-distance relay race	5169	? ?	chạy tiếp sức đường dài
駅	駅弁	えきべん	n	boxed lunch bought at a station (often a local specialty)	5170	? ?	cơm hộp bán ở ga
駅	終着駅	しゅうちゃくえき	n	terminal station	10476	chung ? ?	ga cuối
駅	宿駅	しゅくえき	n	relay station; post station; stage	20720	túc ?	trạm dịch
円	一円	いちえん	n	one yen	4810	nhất ?	một yên
円	円	えん	n	yen (currency of Japan)	5177	?	yên (tiền tệ Nhật)
円	円安	えんやす	n	depreciation of the yen; weak yen	5178	? an	đồng yên giảm giá
円	円建て	えんだて	n	yen basis (for trade, exchange, etc.)	5179	? kiến	tính theo đồng yên
円	円弧	えんこ	n	arc	5180	? ?	cung tròn
円	円高	えんだか	n	appreciation of the yen; strong yen	5181	? cao	đồng yên tăng giá
円	円周	えんしゅう	n	circumference	5182	? chu	chu vi đường tròn
円	円熟	えんじゅく	n	ripeness; mellowness; maturity	5183	? thục	chín muồi, thuần thục
下	ぶら下がる	ぶらさがる	v5r	to hang down (from); to dangle; to swing; to be suspended	403	hạ	treo lủng lẳng, đu đưa
下	ぶら下げる	ぶらさげる	v1	to hang; to suspend; to dangle; to swing; to carry	404	hạ	treo lên, đeo lủng lẳng
下	以下	いか	n-suf	not exceeding ...; not more than ...; ... and under; ... and below; ... or fewer	4643	? hạ	... trở xuống, dưới ...
下	引き下げ	ひきさげ	n	reduction; cut	5005	dẫn hạ	hạ xuống, giảm
下	右下	みぎした	n	lower right	5051	hữu hạ	góc dưới phải
下	下	した	n	below; down; under; younger (e.g. daughter)	5402	hạ	dưới, ở dưới
下	下がる	さがる	v5r	to come down; to go down; to fall; to drop; to sink; to get lower	5403	hạ	hạ xuống, giảm xuống
下	下げる	さげる	v1	to hang; to suspend; to wear (e.g. decoration)	5404	hạ	hạ, treo, đeo (đồ trang trí)
何	如何にも	いかにも	adv	indeed; really; truly; just (like)	18	như ?	quả thật, đúng là
何	何方でも	どなたでも	adv	anyone	333	? phương	bất kỳ ai
何	何故なら	なぜなら	conj	because; the reason is; if you want to know why	343	? cố	bởi vì
何	何故ならば	なぜならば	conj	because; for; the reason why is ...	344	? cố	bởi vì, lý do là
何	何か	なにか	pn	something; some; any	5469	?	cái gì đó
何	何しろ	なにしろ	adv	in any case; at any rate; anyhow; anyway; as you know; for you see; particularly	5470	?	dù sao thì, dù gì
何	何だか	なんだか	adv	(a) little; somewhat; somehow	5471	?	không hiểu sao, có vẻ
何	何だかんだ	なんだかんだ	adv	something or other; one thing or another; this or that	5472	?	thế này thế kia
火	下火	したび	n	burning low; waning; declining	5415	hạ hoả	(lửa) tàn, suy giảm
火	火	ひ	n	fire; flame; blaze	5617	hoả	lửa
火	火炎瓶	かえんびん	n	Molotov cocktail; petrol bomb; gasoline bomb	5618	hoả viêm bình	bom xăng
火	火花	ひばな	n	spark	5619	hoả hoa	tia lửa
火	火器	かき	n	firearms; guns	5620	hoả khí	hỏa khí, súng
火	火災	かさい	n	conflagration; fire	5621	hoả tai	hỏa hoạn
火	火災保険	かさいほけん	n	fire insurance	5622	hoả tai bảo ?	bảo hiểm cháy nổ
火	火山	かざん	n	volcano	5623	hoả sơn	núi lửa
花	火花	ひばな	n	spark	5619	hoả hoa	tia lửa
花	花	はな	n	flower; blossom; bloom; petal	5640	hoa	hoa
花	花びら	はなびら	n	petal	5641	hoa	cánh hoa
花	花屋	はなや	n	florist; flower shop	5642	hoa ốc	tiệm hoa
花	花嫁	はなよめ	n	bride	5643	hoa giá	cô dâu
花	花火	はなび	n	fireworks	5644	hoa hoả	pháo hoa
花	花形	はながた	n	floral pattern; flourish; ornament	5645	hoa hình	họa tiết hoa, ngôi sao (nổi bật)
花	花見	はなみ	n	cherry blossom viewing; flower viewing	5646	hoa kiến	ngắm hoa anh đào
会	委員会	いいんかい	n	committee; commission; board; panel; committee meeting	4668	uỷ viên hội	ủy ban
会	医師会	いしかい	n	medical association	4787	? sư hội	hội y khoa
会	運動会	うんどうかい	n	athletic meet (esp. at a school); sports day; field day; sports festival	5101	vận động hội	hội thao
会	英会話	えいかいわ	n	English conversation	5142	anh hội thoại	hội thoại tiếng Anh
会	宴会	えんかい	n	party; banquet; reception; feast; dinner	5194	yến hội	tiệc, yến tiệc
会	演奏会	えんそうかい	n	concert; recital	5220	diễn tấu hội	buổi hòa nhạc
会	会	かい	n	meeting; assembly; party; gathering; conference; athletic meet	5731	hội	cuộc họp, hội, buổi gặp
会	会う	あう	v5u	to meet; to encounter; to see	5732	hội	gặp, gặp gỡ
外	この外	このほか	conj	besides; moreover; in addition	170	ngoại	ngoài ra, hơn nữa
外	その外	そのほか	exp	the rest; the others	250	ngoại	những cái còn lại
外	案外	あんがい	adv	unexpectedly; surprisingly	4638	an ngoại	bất ngờ, ngoài dự đoán
外	以外	いがい	n-suf	excluding; except (for); apart from; other than; besides; in addition to	4644	? ngoại	ngoài ra, ngoại trừ
外	意外	いがい	adj-na	unexpected; surprising	4677	ý ngoại	bất ngờ
外	域外	いきがい	n	outside the area	4795	vực ngoại	ngoài khu vực
外	屋外	おくがい	n	outdoors; outside	5356	ốc ngoại	ngoài trời
外	海外	かいがい	n	foreign; abroad; overseas	5864	hải ngoại	hải ngoại, nước ngoài
学	医学	いがく	n	medicine; medical science	4783	? ?	y học
学	医学部	いがくぶ	n	faculty of medicine; college of medicine; department of medicine; school of medicine; medical school	4784	? ? bộ	khoa y
学	英文学	えいぶんがく	n	English(-language) literature	5150	anh văn ?	văn học Anh
学	化学	かがく	n	chemistry	5452	hoá ?	hóa học
学	化学肥料	かがくひりょう	n	chemical fertilizer; chemical fertiliser	5453	hoá ? phì liệu	phân bón hóa học
学	化学兵器	かがくへいき	n	chemical weapon	5454	hoá ? binh khí	vũ khí hóa học
学	科学	かがく	n	science	5586	khoa ?	khoa học
学	科学技術	かがくぎじゅつ	n	science and technology; technology; scientific techniques	5587	khoa ? kĩ thuật	khoa học công nghệ
間	あっという間に	あっというまに	exp	in an instant; in a flash; in the blink of an eye; in no time at all; just like that	7	gian	trong chớp mắt
間	この間	このあいだ	n	the other day; lately; recently; during this period	171	gian	hôm trước, dạo gần đây
間	一時間	いちじかん	n	one hour	4854	nhất thì gian	một giờ đồng hồ
間	一週間	いっしゅうかん	n	one week	4863	nhất chu gian	một tuần
間	一年間	いちねんかん	n	(period of) one year	4924	nhất nên gian	suốt một năm
間	宇宙空間	うちゅうくうかん	n	(outer) space	5061	vũ trụ không gian	không gian vũ trụ
間	営業時間	えいぎょうじかん	n	business hours; opening hours; office hours	5117	? nghiệp thì gian	giờ làm việc, giờ mở cửa
間	いつの間にか	いつのまにか	adv	before one knows; before one becomes aware of; unnoticed; unawares	5488	gian	không biết tự lúc nào
気	お天気	おてんき	n	weather	86	thiên ?	thời tiết
気	悪気	わるぎ	n	ill will; malice; evil intent	4567	? ?	ác ý
気	意気	いき	n	spirit; heart; disposition	4678	ý ?	tinh thần, khí phách
気	意気込む	いきごむ	v5m	to be enthusiastic (about); to be eager (to do); to be keen; to be intent (on); to be determined	4679	ý ? ?	hăng hái, nhiệt tình
気	意気地	いくじ	n	self-respect; self-confidence; guts; backbone; pride; drive; willpower	4680	ý ? địa	ý chí, bản lĩnh
気	一気	いっき	n	one breath	4826	nhất ?	một hơi
気	一気に	いっきに	adv	in one go; in one gulp; in one breath; without stopping; without pausing; without a rest; in one sitting; at a stretch	4827	nhất ?	một hơi, liền một mạch
気	陰気	いんき	adj-na	gloomy; dismal; miserable; melancholy	5036	âm ?	u ám, ảm đạm
休	お休みなさい	おやすみなさい	exp	good night	54	hưu	chúc ngủ ngon
休	一休み	ひとやすみ	n	(short) rest; breather; break	4829	nhất hưu	nghỉ một chút
休	運休	うんきゅう	n	suspension (of a transportation service); cancellation; stoppage	5092	vận hưu	tạm dừng (chuyến tàu, xe)
休	夏休み	なつやすみ	n	summer vacation; summer holiday	5543	? hưu	kỳ nghỉ hè
休	休する	きゅうする	vs-s	to come to an end	6866	hưu	kết thúc
休	休まる	やすまる	v5r	to be rested; to feel at ease; to repose; to be relieved	6867	hưu	được nghỉ ngơi, thư thái
休	休み	やすみ	n	rest; recess; respite	6868	hưu	nghỉ, ngày nghỉ
休	休む	やすむ	v5m	to be absent; to take a day off	6869	hưu	nghỉ, vắng mặt
魚	魚屋	さかなや	n	fish market; fish dealer; fishmonger	7028	ngư ốc	tiệm cá, người bán cá
魚	魚介	ぎょかい	n	marine products; seafood; fish and shellfish	7029	ngư giới	hải sản
魚	魚介類	ぎょかいるい	n	marine products; seafood; fish and shellfish	7030	ngư giới loại	các loại hải sản
魚	魚群	ぎょぐん	n	school of fish; shoal of fish	7031	ngư quần	đàn cá
魚	魚市場	うおいちば	n	fish market	7032	ngư thị trường	chợ cá
魚	魚肉	ぎょにく	n	fish meat	7033	ngư ?	thịt cá
魚	魚雷	ぎょらい	n	torpedo	7034	ngư lôi	ngư lôi
魚	魚類	ぎょるい	n	fish; fishes	7035	ngư loại	loài cá
金	お金	おかね	n	money	55	kim	tiền
金	一時金	いちじきん	n	single amount (of money); one-off payment; lump sum	4855	nhất thì kim	khoản tiền một lần
金	黄金	おうごん	n	gold (Au)	5348	hoàng kim	vàng
金	黄金時代	おうごんじだい	n	golden age	5349	hoàng kim thì đại	thời kỳ hoàng kim
金	課徴金	かちょうきん	n	charges (i.e. fees)	5675	khoá ? kim	phí phạt, phí thu
金	換金	かんきん	n	realization (of goods into money); conversion (into money); liquidation	6303	? kim	đổi ra tiền
金	基金	ききん	n	fund; foundation	6529	cơ kim	quỹ
金	寄金	ききん	n	contribution; donation	6551	gửi kim	tiền đóng góp, quyên góp
九	九つ	ここのつ	num	nine	7366	cửu	chín (cái)
九	九九	くく	n	multiplication table; times table	7367	cửu cửu	bảng cửu chương
九	九月	くがつ	n	September	7368	cửu nguyệt	tháng Chín
九	九州	きゅうしゅう	n	Kyūshū (southernmost of the four main islands of Japan)	7369	cửu châu	Kyushu
九	九重	ここのえ	n	ninefold	7370	cửu trọng	chín lớp
九	九日	ここのか	n	9th day of the month	7371	cửu nhật	ngày mùng 9
九	十九	じゅうきゅう	num	nineteen; 19	10546	thập cửu	mười chín
九	九	きゅう	num	nine; 9	18471	cửu	chín
空	宇宙空間	うちゅうくうかん	n	(outer) space	5061	vũ trụ không gian	không gian vũ trụ
空	架空	かくう	adj-no	fictitious; imaginary; fanciful; fabricated	5601	giá không	hư cấu, tưởng tượng
空	空ける	あける	v1	to empty; to remove; to make space; to make room	5910	không	để trống, làm trống
空	虚空	こくう	n	empty space; empty sky	7008	hư không	không trung, hư không
空	空	から	n	emptiness; being empty	7429	không	trống rỗng
空	空	そら	n	sky; the air; the heavens	7430	không	trống rỗng
空	空き缶	あきかん	n	empty can	7431	không phẫu	lon rỗng
空	空き地	あきち	n	vacant land; unoccupied ground; empty lot	7432	không địa	đất trống
月	１月	いちがつ	n	January	4836	nguyệt	tháng Một
月	一月	ひとつき	n	one month	4837	nhất nguyệt	một tháng
月	ヶ月	かげつ	ctr	counter for months	5639	nguyệt	(đếm) tháng
月	隔月	かくげつ	n	every second month; every other month	6078	cách nguyệt	cách tháng
月	旧正月	きゅうしょうがつ	n	lunar New Year (esp. the Chinese New Year)	6971	? chính nguyệt	Tết âm lịch
月	９月	くがつ	n	September	7368	nguyệt	tháng Chín
月	月	つき	n	Moon	7774	nguyệt	mặt trăng, tháng
月	月額	げつがく	n	monthly sum; monthly amount	7775	nguyệt ngạch	số tiền hàng tháng
見	見す見す	みすみす	adv	before one's own eyes; from under one's very nose; without doing anything; without resistance; helplessly; negligently; knowingly	427	kiến kiến	ngay trước mắt (mà bất lực)
見	意見	いけん	n	opinion; view; comment	4682	ý kiến	ý kiến
見	一見	いっけん	n	look; glimpse; glance	4839	nhất kiến	thoáng nhìn, nhìn qua
見	下見	したみ	n	preliminary inspection; having a look in advance	5420	hạ kiến	khảo sát trước, xem trước
見	花見	はなみ	n	cherry blossom viewing; flower viewing	5646	hoa kiến	ngắm hoa anh đào
見	会見	かいけん	n	interview; audience; meeting; (viewing) party	5740	hội kiến	cuộc gặp, họp báo
見	外見	がいけん	n	outward appearance; looks	5963	ngoại kiến	bề ngoài
見	垣間見る	かいまみる	v1	to take a peep at; to catch a glimpse of	6014	? gian kiến	thoáng thấy
言	こう言う	こういう	adj-pn	such; this sort of; like this	155	ngôn	kiểu thế này, như vầy
言	と言うもの	というもの	exp	something like ...; something called ...	307	ngôn	cái gọi là, cái mà
言	と言えば	といえば	exp	speaking of ...	318	ngôn	nói đến, nhắc đến
言	遺言	ゆいごん	n	will; testament; one's dying wish; one's last words	4763	di ngôn	di ngôn, lời trăng trối
